,cluster_id,firing_rate,presence_ratio,isi_viol,amplitude_cutoff,isolation_distance,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below
0,0,6.159170427407937,0.99,0.0,0.00044176741551416954,80.44646379117503,1.0753427939815354e-05,7.788240504079202,0.998,0.0,,20.72,88.58,complete_session,complete_session,1,4.787240434137816,0.5768844221105527,0.2060301507537688,0.42887329263637625,0.5717564136422518,-0.09128611078435872,174.85260000000005,40.0,-0.5494137353433837,
1,1,0.3351943362779477,0.99,0.6805811863452691,0.026131351910723757,16.414915405339556,0.019565702947706976,2.3538646289502925,0.4533333333333333,0.001708542713567839,0.2863696889836411,30.13,552.4,complete_session,complete_session,1,2.5829795619735227,0.6318257956448912,0.3296482412060301,0.4773703929849163,0.22038950889256329,-0.03758674113694429,59.478899999999975,40.0,0.2747068676716921,
2,2,13.289853593315929,0.99,0.006494177415336741,0.0012103217207876966,74.11401569131927,0.005677818583760042,4.700932345886949,0.9806666666666667,0.0023427041499330657,0.26586378013470197,22.05,188.73,complete_session,complete_session,2,3.1322619350005905,0.535678391959799,0.3708542713567839,0.7558765556977292,0.3177049217797797,-0.08111792739030324,130.83992999999998,70.00000000000001,1.8886097152428811,
3,3,12.333437860832046,0.99,0.1015444875993031,0.003708380498749178,74.19793607019582,0.019344177966005235,3.696635870292857,0.8833333333333333,0.03186947240012199,0.11298561711800416,15.2,153.24,complete_session,complete_session,2,3.7544131642878775,0.5631490787269682,0.23350083752093803,0.4736530622242378,0.4599577547265353,-0.06961953639962512,153.77465999999995,30.000000000000004,0.0,
4,4,3.3326640780696377,0.99,0.013769564289028617,0.392586902963325,99.34930462457262,2.731786948678332e-06,5.285804831640621,0.99002849002849,0.00010239606799098914,0.24425217335271607,81.67,1212.43,complete_session,complete_session,2,2.26439642375838,0.4944723618090452,0.2060301507537689,3.5025625207775968,0.2653317272233945,-0.011141655365327309,85.3359,30.000000000000004,2.0603015075376883,
5,5,0.8727701586105053,0.91,0.4517373706152791,0.5,22.59262033047662,0.026129443655789307,1.8690672037863454,0.48346055979643765,0.00716046880805215,0.0009952160859965648,20.51,128.3,complete_session,complete_session,2,2.6091637342005023,0.6318257956448912,0.2884422110552764,0.5293577241095435,0.25048421195137843,-0.03363258098935596,101.17458000000002,50.0,0.41206030150753786,
6,6,4.409039804303632,0.99,0.15144187341540993,0.14995227361566435,27.427252308924597,0.05150662320653435,1.8495501357633366,0.722,0.01856071394664388,0.024441485625573623,32.84,303.57,complete_session,complete_session,4,2.5557382631554035,0.604355108877722,0.23350083752093803,0.4599367520226112,0.2653833120648612,-0.039054739925569286,109.79319000000008,50.0,0.5494137353433841,0.0
7,7,7.638983037384866,0.8,0.004586382125171201,0.021768957827936666,89.87021674321257,8.309772639671367e-05,6.216881134905146,0.9964444444444445,0.00017316017316017316,0.24476449780362033,43.44,581.8,complete_session,complete_session,6,1.8580979295249471,0.5494137353433837,0.3845896147403685,2.4718230876685228,0.2513086766073458,-0.02230336209205201,72.87773999999995,30.000000000000004,-24.723618090452263,0.0
8,8,8.299579057389732,0.99,0.0,0.00016849984748060968,470.24746060064757,0.0,16.510623592614806,0.9991809991809992,0.00010424267695194412,0.40380294145158185,39.5,88.99,complete_session,complete_session,7,7.823937885124595,0.5219430485762144,0.2060301507537688,0.5239470957206483,1.1728263986527945,-0.22394341384206992,386.25600000000014,60.00000000000001,0.8927973199329984,0.0
9,9,4.679459824228416,0.99,0.012222213943641697,0.05764319510411386,70.97782022403706,0.0011515751191318892,4.501592897913724,0.9699453551912568,0.0008883422167555009,0.21593402794389355,27.1,312.53,complete_session,complete_session,9,1.788663528167478,0.6592964824120603,0.3296482412060302,0.6469694924254115,0.18444713164370485,-0.03530660198577056,87.14822999999996,60.00000000000001,-1.0301507537688444,0.6867671691792301
